0, A001, 20111201, 0000000.0000
1, A002, 20111201, 0000000.0000
2, A003, 20130101, 0000000.0000
3, A004, 20111201, 0000000.0000
4, A005, 20111201, 0000000.0000
5, A006, 20111201, 0000000.0000
6, A007, 20120401, 0000000.0000
7, A008, 20111201, 0000000.0000
8, A009, 19980201, 0000000.0000
9, A013, 20120401, 0000047.5000
10, A014, 20111201, 0000031.4500
11, A015, 20120401, 0000106.8000
12, A016, 20120401, 0000052.1500
13, A020, 20130401, 0000049.9500
14, A023, 20161101, 0000038.7000
15, A024, 20161101, 0000021.9000
16, A025, 20161101, 0000072.1500
17, A026, 20161101, 0000044.4500
18, A027, 20130401, 0000147.3000
19, A033, 20120401, 0000044.4000
20, A034, 20111201, 0000024.1000
21, A035, 20120401, 0000090.3000
22, A036, 20120401, 0000060.0000
23, A043, 20120401, 0000058.2500
24, A044, 20111201, 0000030.0000
25, A045, 20120401, 0000121.1000
26, A046, 20120401, 0000058.2500
27, A050, 20120401, 0000144.7500
28, A051, 20120401, 0000070.9000
29, A053, 20120401, 0000079.8500
30, A054, 20120401, 0000061.2500
31, A055, 20120401, 0000125.6000
32, A056, 20120401, 0000084.2000
33, A058, 20111201, 0000038.0500
34, A063, 20120401, 0000042.5500
35, A064, 20111201, 0000024.0500
36, A065, 20120401, 0000083.1000
37, A066, 20120401, 0000051.7000
38, A070, 20111201, 0000185.0000
39, A071, 20120401, 0000070.9000
40, A073, 20120401, 0000079.8500
41, A074, 20120401, 0000061.2500
42, A075, 20120401, 0000175.0000
43, A076, 20120401, 0000105.2500
44, A078, 20111201, 0000038.0500
45, A083, 20120401, 0000041.5500
46, A084, 20111201, 0000026.5500
47, A085, 20120401, 0000081.1000
48, A086, 20120401, 0000047.9500
49, A093, 20120401, 0000044.4000
50, A094, 20111201, 0000024.1000
51, A095, 20120401, 0000090.3000
52, A096, 20120401, 0000060.0000
53, A100, 20080201, 0000000.0000
54, A110, 20110901, 0000000.0000
55, A111, 20040401, 0000000.0000
56, A112, 20110901, 0000000.0000
57, A113, 20120401, 0000089.8500
58, A114, 20040401, 0000000.0000
59, A115, 20130401, 0000000.0000
60, A120, 20111201, 0000018.8500
61, A130, 20120401, 0000300.7000
62, A131, 20120401, 0000070.9000
63, A133, 20120401, 0000079.8500
64, A134, 20120401, 0000061.2500
65, A135, 20120401, 0000157.0000
66, A136, 20120401, 0000105.2500
67, A138, 20111201, 0000038.0500
68, A145, 20040401, 0000114.6000
69, A150, 20120401, 0000300.7000
70, A151, 20120401, 0000070.9000
71, A153, 20120401, 0000079.8500
72, A154, 20120401, 0000061.2500
73, A155, 20120401, 0000157.0000
74, A156, 20120401, 0000105.2500
75, A158, 20111201, 0000038.0500
76, A160, 20120401, 0000300.7000
77, A161, 20120401, 0000070.9000
78, A163, 20120401, 0000079.8500
79, A164, 20120401, 0000061.2500
80, A165, 20120401, 0000157.0000
81, A166, 20120401, 0000105.2500
82, A168, 20111201, 0000038.0500
83, A173, 20120401, 0000044.4000
84, A174, 20111201, 0000024.1000
85, A175, 20120401, 0000090.3000
86, A176, 20120401, 0000060.0000
87, A180, 20120401, 0000300.7000
88, A181, 20120401, 0000071.9000
89, A183, 20120401, 0000078.8000
90, A184, 20120401, 0000062.1000
91, A185, 20120401, 0000176.3500
92, A186, 20120401, 0000084.9500
93, A188, 20111201, 0000037.6500
94, A190, 20120401, 0000300.7000
95, A191, 20120401, 0000212.6500
96, A192, 20120401, 0000212.6500
97, A193, 20120401, 0000079.8500
98, A194, 20111201, 0000038.0500
99, A195, 20120401, 0000199.4000
100, A196, 20120401, 0000105.2500
101, A197, 20120401, 0000212.6500
102, A198, 20120401, 0000212.6500
103, A203, 20120401, 0000047.4500
104, A204, 20111201, 0000026.3500
105, A205, 20120401, 0000101.7000
106, A206, 20120401, 0000054.1000
107, A215, 20120401, 0000047.5000
108, A220, 20120401, 0000300.7000
109, A221, 20111201, 0000038.0500
110, A223, 20120401, 0000395.6500
111, A225, 20120401, 0000165.0000
112, A226, 20120401, 0000105.2500
113, A230, 20160701, 0000025.0000
114, A231, 20130401, 0000120.0000
115, A233, 20161101, 0000057.7000
116, A234, 20161101, 0000028.9500
117, A235, 20161101, 0000082.3000
118, A236, 20161101, 0000045.8500
119, A237, 20130401, 0000056.6000
120, A238, 20040401, 0000042.1500
121, A239, 20130401, 0000056.6000
122, A240, 20040401, 0000042.1500
123, A243, 20120401, 0000041.1000
124, A244, 20111201, 0000024.5500
125, A245, 20120401, 0000077.9000
126, A246, 20120401, 0000048.6000
127, A250, 20130401, 0000120.0000
128, A251, 20130401, 0000120.0000
129, A252, 20130401, 0000240.0000
130, A253, 20130401, 0000082.3000
